Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
92	1621.117543	-0.596426	210.738389	  1.138138	1	9.311097e-03
93	1632.178570	-0.682268	209.653394	  0.702556	1	9.311097e-03
94	1643.183846	-0.768110	208.619107	  0.005387	1	1.536331e-02
95	1654.132966	-0.853952	207.517912	  0.528774	1	9.311097e-03
96	1665.022819	-0.939794	206.365625	  0.001147	1	1.536331e-02
97	1675.848650	-1.025636	205.086245	  0.997484	1	9.311097e-03
98	1686.604764	-1.111478	203.717208	  0.011915	1	1.536331e-02
99	1697.286074	-1.197320	202.241863	  0.019873	1	1.536331e-02
100	1707.892569	-1.283162	200.880259	  0.032266	1	1.536331e-02
101	1718.424399	-1.369004	199.405014	  0.049939	1	1.536331e-02
102	1728.876361	-1.454846	197.841133	  0.068502	1	1.536331e-02
103	1739.247917	-1.540687	196.349283	  0.109679	1	1.536331e-02
104	1749.543808	-1.626529	194.961866	  0.119522	1	1.536331e-02
105	1759.769212	-1.712371	193.671555	  0.113397	1	1.536331e-02
106	1769.928152	-1.798213	192.437178	  0.099521	1	1.536331e-02
107	1780.021675	-1.884055	191.181535	  0.086322	1	1.536331e-02
108	1790.044568	-1.969897	189.753829	  0.057743	1	1.536331e-02
109	1799.984357	-2.055739	188.023232	  0.024004	1	1.536331e-02
110	1809.823064	-2.141581	185.917338	  0.004291	1	1.536331e-02
111	1819.541730	-2.227423	183.456574	 -0.000010	1	2.534946e-02
112	1829.130717	-2.313265	180.991439	  0.001361	1	1.536331e-02
113	1838.574105	-2.399107	177.918244	  0.001383	1	1.536331e-02
114	1847.912387	-2.484949	176.997649	 -0.000136	1	5.643089e-03
115	1857.152239	-2.570790	174.175769	  0.020497	1	2.796490e-04
116	1866.338651	-2.656632	174.966692	  0.017998	1	1.256218e-03
117	1875.567484	-2.742474	175.789306	 -0.000148	1	1.536331e-02
118	1884.873626	-2.828316	177.904241	  0.022648	1	1.133156e-06
119	1894.049285	-2.914158	170.831481	 -0.000095	1	5.643089e-03
120	1903.087902	-3.000000	172.706285	  0.000213	1	1.133156e-06
