Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
92	1645.990832	-0.596426	211.618393	  0.113065	1	9.311097e-03
93	1657.100300	-0.682268	210.610962	  0.051807	1	9.311097e-03
94	1668.157101	-0.768110	209.614353	  3.270369	1	5.643089e-03
95	1679.160194	-0.853952	208.574186	  0.002390	1	1.536331e-02
96	1690.106576	-0.939794	207.457863	  0.012307	1	1.536331e-02
97	1700.990853	-1.025636	206.217753	  0.004210	1	1.536331e-02
98	1711.807470	-1.111478	204.886960	  0.008318	1	1.536331e-02
99	1722.548333	-1.197320	203.337627	  0.039553	1	1.536331e-02
100	1733.214897	-1.283162	202.061173	  0.100166	1	1.536331e-02
101	1743.811201	-1.369004	200.666005	  0.150264	1	1.536331e-02
102	1754.333099	-1.454846	199.239573	  0.001270	1	2.534946e-02
103	1764.777475	-1.540687	197.721133	  0.000390	1	2.534946e-02
104	1775.144873	-1.626529	196.307532	  0.001624	1	2.534946e-02
105	1785.440083	-1.712371	194.978461	  0.216107	1	1.536331e-02
106	1795.660207	-1.798213	193.461894	  0.144726	1	1.536331e-02
107	1805.796014	-1.884055	191.766879	  0.001624	1	2.534946e-02
108	1815.867539	-1.969897	191.023595	  0.000949	1	2.534946e-02
109	1825.870726	-2.055739	189.161576	  0.002247	1	1.536331e-02
110	1835.771645	-2.141581	187.140979	 -0.000489	1	1.536331e-02
111	1845.554649	-2.227423	184.678699	  0.003194	1	9.311097e-03
112	1855.204425	-2.313265	182.076702	 -0.001164	1	4.182661e-02
113	1864.719287	-2.399107	179.552664	  0.171836	1	1.869708e-06
114	1874.125372	-2.484949	177.938151	 -0.000279	1	9.311097e-03
115	1883.405169	-2.570790	174.754721	  0.000770	1	8.398963e-06
116	1892.630309	-2.656632	175.858226	  0.000018	1	4.614208e-04
117	1901.903747	-2.742474	176.594717	 -0.000008	1	4.614208e-04
118	1911.231340	-2.828316	177.917022	  0.000264	1	8.398963e-06
119	1920.406816	-2.914158	170.812366	 -0.000005	1	4.614208e-04
120	1929.440494	-3.000000	172.530917	  0.000005	1	6.225316e-05
