Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
92	1736.581424	-0.596426	212.414778	 -0.002460	1	1.884327e-03
93	1747.732073	-0.682268	211.382763	  0.001169	1	6.921313e-04
94	1758.828003	-0.768110	210.330909	  0.001130	1	6.921313e-04
95	1769.867229	-0.853952	209.238679	  0.000039	1	1.142017e-03
96	1780.847656	-0.939794	208.093144	  0.000507	1	1.142017e-03
97	1791.765194	-1.025636	206.848184	  0.000388	1	6.921313e-04
98	1802.615076	-1.111478	205.518405	  0.011146	1	4.194735e-04
99	1813.395486	-1.197320	204.210092	  0.000568	1	6.921313e-04
100	1824.108944	-1.283162	202.971478	 -0.000004	1	4.194735e-04
101	1834.759233	-1.369004	201.813863	 -0.000056	1	6.921313e-04
102	1845.351339	-1.454846	200.755913	  0.004172	1	1.030142e-06
103	1855.884769	-1.540687	199.580761	  0.000142	1	1.142017e-03
104	1866.350105	-1.626529	198.175489	 -0.000778	1	2.804562e-06
105	1876.740060	-1.712371	196.711861	  0.000103	1	1.142017e-03
106	1887.050791	-1.798213	195.165985	 -0.000325	1	7.635421e-06
107	1897.275566	-1.884055	193.446178	  0.000075	1	1.142017e-03
108	1907.402493	-1.969897	191.447051	 -0.000196	1	1.259844e-05
109	1917.413822	-2.055739	189.040997	  0.000012	1	4.194735e-04
110	1927.286361	-2.141581	186.184080	 -0.000020	1	9.337975e-05
111	1936.998514	-2.227423	182.938025	 -0.000009	1	5.659379e-05
112	1946.533730	-2.313265	179.461495	  0.000007	1	1.540766e-04
113	1955.883208	-2.399107	175.879473	 -0.000030	1	9.337975e-05
114	1965.044129	-2.484949	172.295180	  0.000010	1	6.921313e-04
115	1974.012563	-2.570790	168.560187	 -0.000032	1	3.429926e-05
116	1982.760954	-2.656632	163.933957	 -0.000003	1	1.540766e-04
117	1991.235018	-2.742474	158.136390	 -0.000139	1	5.659379e-05
118	1999.364334	-2.828316	150.830370	  0.000005	1	6.921313e-04
119	2007.289177	-2.914158	150.367889	 -0.000050	1	4.627528e-06
120	2015.139672	-3.000000	148.006164	  0.000003	1	4.194735e-04
