Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
76	1558.086349	0.777044	26.630364	0.312218	0	0	0	0.000000e+00	206.288386
77	1568.971859	0.691202	26.634796	0.312166	0	0	0	0.000000e+00	206.862887
78	1579.881231	0.605360	26.638343	0.312124	0	0	0	0.000000e+00	207.315395
79	1590.816683	0.519519	26.642206	0.312079	0	0	0	0.000000e+00	207.808509
80	1601.785671	0.433677	26.647109	0.312022	0	0	0	0.000000e+00	208.450013
81	1612.798605	0.347835	26.653655	0.311945	0	0	0	0.000000e+00	209.281287
82	1623.863782	0.261993	26.661370	0.311855	0	0	0	0.000000e+00	210.275730
83	1634.989206	0.176151	26.670257	0.311751	0	0	0	0.000000e+00	211.420427
84	1646.187701	0.090309	26.681081	0.311624	0	0	0	0.000000e+00	212.807251
85	1657.465238	0.004467	26.692708	0.311489	0	0	0	0.000000e+00	214.312705
86	1668.799167	-0.081375	26.701063	0.311391	0	0	0	0.000000e+00	215.381289
87	1680.151266	-0.167217	26.703756	0.311360	0	0	0	0.000000e+00	215.727742
88	1691.498166	-0.253059	26.702998	0.311368	0	0	0	0.000000e+00	215.628291
89	1702.826440	-0.338901	26.700215	0.311401	0	0	0	0.000000e+00	215.275290
90	1714.123096	-0.424743	26.695575	0.311455	0	0	0	0.000000e+00	214.673033
91	1725.377196	-0.510584	26.689274	0.311529	0	0	0	0.000000e+00	213.864487
92	1736.581424	-0.596426	26.681925	0.311614	0	0	0	0.000000e+00	212.915996
93	1747.732073	-0.682268	26.673990	0.311707	0	0	0	0.000000e+00	211.898771
94	1758.828003	-0.768110	26.665926	0.311801	0	0	0	0.000000e+00	210.856836
95	1769.867229	-0.853952	26.657493	0.311900	0	0	0	0.000000e+00	209.784794
96	1780.847656	-0.939794	26.648836	0.312001	0	0	0	0.000000e+00	208.665912
97	1791.765194	-1.025636	26.639542	0.312110	0	0	0	0.000000e+00	207.470664
98	1802.615076	-1.111478	26.629542	0.312227	0	0	0	0.000000e+00	206.183294
99	1813.395486	-1.197320	26.619288	0.312348	0	0	0	0.000000e+00	204.864249
100	1824.108944	-1.283162	26.609385	0.312464	0	0	0	0.000000e+00	203.590785
101	1834.759233	-1.369004	26.600051	0.312574	0	0	0	0.000000e+00	202.392670
102	1845.351339	-1.454846	26.591477	0.312674	0	0	0	0.000000e+00	201.284888
103	1855.884769	-1.540687	26.582786	0.312777	0	0	0	0.000000e+00	200.168337
104	1866.350105	-1.626529	26.588079	0.312714	0	0	0	0.000000e+00	198.878125
105	1876.740060	-1.712371	26.596636	0.312614	0	0	0	0.000000e+00	197.443675
106	1887.050791	-1.798213	26.605510	0.312509	0	0	0	0.000000e+00	195.938923
107	1897.275566	-1.884055	26.615215	0.312395	0	0	0	0.000000e+00	194.306082
108	1907.402493	-1.969897	26.626218	0.312266	0	0	0	0.000000e+00	192.446615
