Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
92	1716.768880	-0.596426	211.154007	 -0.000727	1	3.551728e-04
93	1727.856381	-0.682268	210.245108	 -0.001244	1	1.304583e-04
94	1738.895414	-0.768110	209.312700	  0.000132	1	5.860351e-04
95	1749.884124	-0.853952	208.328638	 -0.000975	1	2.152562e-04
96	1760.819276	-0.939794	207.277314	  0.000151	1	9.669579e-04
97	1771.696242	-1.025636	206.118529	 -0.001769	1	1.304583e-04
98	1782.509700	-1.111478	204.866213	  0.000282	1	9.669579e-04
99	1793.257715	-1.197320	203.628350	 -0.000710	1	9.669579e-04
100	1803.941890	-1.283162	202.448563	 -0.000467	1	3.551728e-04
101	1814.566169	-1.369004	201.345343	 -0.000666	1	5.860351e-04
102	1825.133229	-1.454846	200.271974	  0.000301	1	2.632543e-03
103	1835.639016	-1.540687	199.017241	 -0.000819	1	3.551728e-04
104	1846.074165	-1.626529	197.587181	 -0.000674	1	2.632543e-03
105	1856.433420	-1.712371	196.136715	  0.000013	1	9.669579e-04
106	1866.714290	-1.798213	194.606664	 -0.000465	1	2.632543e-03
107	1876.910318	-1.884055	192.912356	  0.000061	1	9.669579e-04
108	1887.009814	-1.969897	190.936075	 -0.000316	1	1.595481e-03
109	1896.994907	-2.055739	188.567412	  0.000078	1	1.595481e-03
110	1906.843990	-2.141581	185.764302	 -0.000271	1	1.595481e-03
111	1916.535923	-2.227423	182.594846	  0.000065	1	1.595481e-03
112	1926.055506	-2.313265	179.218658	 -0.000205	1	1.595481e-03
113	1935.396797	-2.399107	175.811986	  0.000051	1	1.595481e-03
114	1944.560515	-2.484949	172.469964	 -0.000148	1	1.595481e-03
115	1953.547929	-2.570790	169.109841	  0.000103	1	1.595481e-03
116	1962.348254	-2.656632	165.362881	 -0.000123	1	1.595481e-03
117	1970.925337	-2.742474	160.622953	  0.000031	1	1.595481e-03
118	1979.217795	-2.828316	154.544097	 -0.000078	1	1.595481e-03
119	1987.170323	-2.914158	147.708136	  0.000007	1	9.669579e-04
120	1994.792679	-3.000000	141.995509	 -0.000219	1	7.906565e-05
