Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
92	1755.835103	-0.596426	211.057685	 -0.000808	1	1.884327e-03
93	1766.913039	-0.682268	209.979696	  0.002810	1	1.884327e-03
94	1777.934546	-0.768110	208.909704	  0.113767	1	6.921313e-04
95	1788.898356	-0.853952	207.790016	  0.000649	1	1.142017e-03
96	1799.800524	-0.939794	206.564619	 -0.000545	1	1.142017e-03
97	1810.634502	-1.025636	205.200030	  0.001278	1	1.142017e-03
98	1821.393027	-1.111478	203.700767	 -0.000287	1	1.142017e-03
99	1832.070579	-1.197320	202.114250	  0.000691	1	6.921313e-04
100	1842.663081	-1.283162	200.471608	  0.001423	1	4.194735e-04
101	1853.165371	-1.369004	198.686793	  0.000180	1	4.194735e-04
102	1863.571151	-1.454846	196.806928	  0.000041	1	6.921313e-04
103	1873.880425	-1.540687	195.012998	  0.007412	1	1.030142e-06
104	1884.098164	-1.626529	193.329486	 -0.000028	1	2.542264e-04
105	1894.230444	-1.712371	191.769141	 -0.000043	1	1.030142e-06
106	1904.283200	-1.798213	190.301986	 -0.000002	1	2.078743e-05
107	1914.259018	-1.884055	188.846649	 -0.000027	1	2.804562e-06
108	1924.155350	-1.969897	187.279238	 -0.000000	1	2.078743e-05
109	1933.962948	-2.055739	185.475755	 -0.000007	1	1.259844e-05
110	1943.667937	-2.141581	183.377866	  0.000000	1	3.429926e-05
111	1953.256208	-2.227423	181.037849	  0.000000	1	3.429926e-05
112	1962.719901	-2.313265	178.643200	 -0.000004	1	7.635421e-06
113	1972.063779	-2.399107	176.485493	  0.000000	1	3.429926e-05
114	1981.308296	-2.484949	174.868834	 -0.000003	1	5.659379e-05
115	1990.488191	-2.570790	174.023381	  0.000000	1	2.078743e-05
116	1999.644008	-2.656632	173.957476	 -0.000001	1	2.078743e-05
117	2008.817811	-2.742474	174.706539	  0.000000	1	1.259844e-05
118	2018.039020	-2.828316	175.766734	 -0.000001	1	3.429926e-05
119	2027.366264	-2.914158	178.728592	  0.000000	1	1.259844e-05
120	2036.734882	-3.000000	177.345773	 -0.000000	1	1.259844e-05
