Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
92	1693.864462	-0.596426	209.690836	 -2.186269	1	4.868419e-12
93	1704.871547	-0.682268	208.652687	  0.041371	1	2.979651e-02
94	1715.829965	-0.768110	207.839739	  0.443627	1	1.620972e-10
95	1726.735020	-0.853952	206.623641	 -0.004270	1	2.436384e-03
96	1737.582942	-0.939794	205.668289	  0.083383	1	1.338497e-01
97	1748.369489	-1.025636	204.295727	  0.540026	1	2.674604e-10
98	1759.087198	-1.111478	203.045789	  0.038549	1	9.824074e-11
99	1769.726034	-1.197320	201.303412	  0.463257	1	9.920945e-01
100	1780.288855	-1.283162	200.157244	 -0.099919	1	3.961298e-18
101	1790.772102	-1.369004	198.273289	  1.748963	1	4.456613e+00
102	1801.170673	-1.454846	196.943317	  0.999102	1	3.961298e-18
103	1811.473327	-1.540687	194.628538	 -2.377858	1	7.353411e+00
104	1821.697415	-1.626529	193.956462	  2.167650	1	3.961298e-18
105	1831.852904	-1.712371	192.020689	 -0.983712	1	4.456613e+00
106	1841.946584	-1.798213	191.607922	  0.441761	1	4.844592e-17
107	1851.973084	-1.884055	189.466649	  0.000017	1	9.824074e-11
108	1861.925824	-1.969897	188.799559	  0.505846	1	2.936117e-17
109	1871.781431	-2.055739	185.783087	 -0.319783	1	2.700977e+00
110	1881.538522	-2.141581	185.046838	  0.163459	1	1.318940e-16
111	1891.160009	-2.227423	180.631977	  0.014925	1	2.208519e-01
112	1900.663823	-2.313265	180.574832	 -0.006344	1	4.391499e-15
113	1910.037557	-2.399107	175.694787	  0.000030	1	6.568288e-13
114	1919.283896	-2.484949	175.728071	  0.147015	1	2.400787e-18
115	1928.462870	-2.570790	173.134820	 -0.157396	1	2.700977e+00
116	1937.623490	-2.656632	175.032480	  0.070298	1	6.536142e-18
117	1946.851227	-2.742474	175.687425	  0.000010	1	8.905271e-09
118	1956.125539	-2.828316	176.799081	  0.011398	1	2.400787e-18
119	1965.506883	-2.914158	179.758009	 -0.018067	1	6.012694e-01
120	1974.927014	-3.000000	178.271667	  0.007631	1	1.779465e-17
