Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
76	1511.243238	0.777044	26.641485	0.312087	0	0	0	0.000000e+00	221.403812
77	1522.897055	0.691202	26.641937	0.312082	0	0	0	0.000000e+00	221.462580
78	1534.548387	0.605360	26.641576	0.312086	0	0	0	0.000000e+00	221.412661
79	1546.194282	0.519519	26.640781	0.312096	0	0	0	0.000000e+00	221.310218
80	1557.826253	0.433677	26.638752	0.312119	0	0	0	0.000000e+00	221.046021
81	1569.436004	0.347835	26.635467	0.312158	0	0	0	0.000000e+00	220.624213
82	1581.003272	0.261993	26.629199	0.312231	0	0	0	0.000000e+00	219.816770
83	1592.549920	0.176151	26.626175	0.312267	0	0	0	0.000000e+00	219.423226
84	1603.983151	0.090309	26.609438	0.312463	0	0	0	0.000000e+00	217.271608
85	1615.366771	0.004467	26.602155	0.312549	0	0	0	0.000000e+00	216.324514
86	1626.743514	-0.081375	26.601111	0.312561	0	0	0	0.000000e+00	216.195276
87	1638.048325	-0.167217	26.590517	0.312686	0	0	0	0.000000e+00	214.828022
88	1649.344600	-0.253059	26.589271	0.312700	0	0	0	0.000000e+00	214.666495
89	1660.578341	-0.338901	26.580086	0.312808	0	0	0	0.000000e+00	213.475863
90	1671.755048	-0.424743	26.571657	0.312908	0	0	0	0.000000e+00	212.395382
91	1682.842176	-0.510584	26.558406	0.313064	0	0	0	0.000000e+00	210.693938
92	1693.864462	-0.596426	26.548873	0.313176	0	0	0	0.000000e+00	209.461294
93	1704.871547	-0.682268	26.546639	0.313202	0	0	0	0.000000e+00	209.171762
94	1715.829965	-0.768110	26.539500	0.313287	0	0	0	0.000000e+00	208.246213
95	1726.735020	-0.853952	26.531629	0.313380	0	0	0	0.000000e+00	207.231690
96	1737.582942	-0.939794	26.523210	0.313479	0	0	0	0.000000e+00	206.145965
97	1748.369489	-1.025636	26.514116	0.313587	0	0	0	0.000000e+00	204.982008
98	1759.087198	-1.111478	26.504004	0.313706	0	0	0	0.000000e+00	203.670758
99	1769.726034	-1.197320	26.492362	0.313844	0	0	0	0.000000e+00	202.174600
100	1780.288855	-1.283162	26.481176	0.313977	0	0	0	0.000000e+00	200.730328
101	1790.772102	-1.369004	26.480203	0.313988	0	0	0	0.000000e+00	199.215267
102	1801.170673	-1.454846	26.489721	0.313875	0	0	0	0.000000e+00	197.608303
103	1811.473327	-1.540687	26.500515	0.313748	0	0	0	0.000000e+00	195.785927
104	1821.697415	-1.626529	26.509423	0.313642	0	0	0	0.000000e+00	194.292500
105	1831.852904	-1.712371	26.517151	0.313551	0	0	0	0.000000e+00	192.988576
106	1841.946584	-1.798213	26.524098	0.313469	0	0	0	0.000000e+00	191.814305
107	1851.973084	-1.884055	26.531693	0.313379	0	0	0	0.000000e+00	190.537286
108	1861.925824	-1.969897	26.540054	0.313280	0	0	0	0.000000e+00	189.133104
109	1871.781431	-2.055739	26.550932	0.313152	0	0	0	0.000000e+00	187.291323
110	1881.538522	-2.141581	26.562123	0.313020	0	0	0	0.000000e+00	185.414963
111	1891.160009	-2.227423	26.577404	0.312840	0	0	0	0.000000e+00	182.839408
112	1900.663823	-2.313265	26.590666	0.312684	0	0	0	0.000000e+00	180.603404
113	1910.037557	-2.399107	26.605259	0.312512	0	0	0	0.000000e+00	178.134810
114	1919.283896	-2.484949	26.619691	0.312343	0	0	0	0.000000e+00	175.711429
115	1928.462870	-2.570790	26.627269	0.312254	0	0	0	0.000000e+00	174.431446
116	1937.623490	-2.656632	26.629327	0.312230	0	0	0	0.000000e+00	174.083650
117	1946.851227	-2.742474	26.621752	0.312319	0	0	0	0.000000e+00	175.359952
118	1956.125539	-2.828316	26.616533	0.312380	0	0	0	0.000000e+00	176.243253
119	1965.506883	-2.914158	26.604423	0.312522	0	0	0	0.000000e+00	178.278545
120	1974.927014	-3.000000	26.600065	0.312573	0	0	0	0.000000e+00	179.014838
